event,s_ip,s_port,d_ip,d_port,action,timestamp
alert|DoS SYN,10.0.0.2,33654,10.0.0.1,80,,08-26 18:07:21
new rule|10003|auto,10.0.0.2,33654,any,any,redirect,08-26 18:07:21
alert|DoS ACK,10.0.0.2,33654,10.0.0.1,80,,08-26 18:07:22
new rule|10004|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:22
remove rule|10003|auto,10.0.0.2,33654,any,any,redirect,08-26 18:07:22
alert|DoS ACK,10.0.0.2,33654,10.0.0.1,80,,08-26 18:07:23
new rule|10005|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:23
remove rule|10004|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:23
alert|DoS ACK,10.0.0.2,33654,10.0.0.1,80,,08-26 18:07:24
new rule|10006|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:24
remove rule|10005|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:24
alert|DoS ACK,10.0.0.2,33654,10.0.0.1,80,,08-26 18:07:25
new rule|10007|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:25
remove rule|10006|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:25
alert|DoS ACK,10.0.0.2,33654,10.0.0.1,80,,08-26 18:07:25
new rule|10008|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:25
remove rule|10007|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:25
alert|DoS ACK,10.0.0.2,33654,10.0.0.1,80,,08-26 18:07:26
new rule|10009|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:26
remove rule|10008|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:26
alert|DoS ACK,10.0.0.2,33654,10.0.0.1,80,,08-26 18:07:27
new rule|10010|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:27
remove rule|10009|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:27
alert|DoS ACK,10.0.0.2,33654,10.0.0.1,80,,08-26 18:07:28
new rule|10011|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:28
remove rule|10010|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:28
alert|DoS ACK,10.0.0.2,33654,10.0.0.1,80,,08-26 18:07:29
new rule|10012|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:29
remove rule|10011|auto,10.0.0.2,33654,any,any,drop,08-26 18:07:29
alert|DoS SYN,10.0.0.2,60638,10.0.0.1,80,,08-26 18:07:51
new rule|10013|auto,10.0.0.2,60638,any,any,redirect,08-26 18:07:51
alert|DoS SYN,10.0.0.1,80,10.0.0.2,60638,,08-26 18:07:52
new rule|10014|auto,10.0.0.1,80,any,any,redirect,08-26 18:07:52
alert|DoS ACK,10.0.0.1,80,10.0.0.2,60638,,08-26 18:07:55
new rule|10015|auto,10.0.0.1,80,any,any,drop,08-26 18:07:55
remove rule|10014|auto,10.0.0.1,80,any,any,redirect,08-26 18:07:55
alert|DoS SYN,10.0.0.1,80,10.0.0.2,60638,,08-26 18:07:56
new rule|10016|auto,10.0.0.1,80,any,any,redirect,08-26 18:07:56
remove rule|10015|auto,10.0.0.1,80,any,any,drop,08-26 18:07:56
alert|DoS ACK,10.0.0.1,80,10.0.0.2,60638,,08-26 18:07:57
new rule|10017|auto,10.0.0.1,80,any,any,drop,08-26 18:07:57
remove rule|10016|auto,10.0.0.1,80,any,any,redirect,08-26 18:07:57
alert|DoS ACK,10.0.0.1,80,10.0.0.2,60638,,08-26 18:07:59
new rule|10018|auto,10.0.0.1,80,any,any,drop,08-26 18:07:59
remove rule|10017|auto,10.0.0.1,80,any,any,drop,08-26 18:07:59
