pkt_id,s_ip,s_port,d_ip,d_port,label,timestamp,strategy
1111,10.0.0.2,33654,10.0.0.1,80,DoS SYN,08-26 18:07:21,redirect
1112,10.0.0.2,33654,10.0.0.1,80,DoS ACK,08-26 18:07:22,drop
1113,10.0.0.2,33654,10.0.0.1,80,DoS ACK,08-26 18:07:23,drop
1114,10.0.0.2,33654,10.0.0.1,80,DoS ACK,08-26 18:07:24,drop
1115,10.0.0.2,33654,10.0.0.1,80,DoS ACK,08-26 18:07:25,drop
1116,10.0.0.2,33654,10.0.0.1,80,DoS ACK,08-26 18:07:25,drop
1117,10.0.0.2,33654,10.0.0.1,80,DoS ACK,08-26 18:07:26,drop
1118,10.0.0.2,33654,10.0.0.1,80,DoS ACK,08-26 18:07:27,drop
1119,10.0.0.2,33654,10.0.0.1,80,DoS ACK,08-26 18:07:28,drop
1120,10.0.0.2,33654,10.0.0.1,80,DoS ACK,08-26 18:07:29,drop
1121,10.0.0.2,60638,10.0.0.1,80,DoS SYN,08-26 18:07:51,redirect
1122,10.0.0.1,80,10.0.0.2,60638,DoS SYN,08-26 18:07:52,redirect
1125,10.0.0.1,80,10.0.0.2,60638,DoS ACK,08-26 18:07:55,drop
1126,10.0.0.1,80,10.0.0.2,60638,DoS SYN,08-26 18:07:56,redirect
1128,10.0.0.1,80,10.0.0.2,60638,DoS ACK,08-26 18:07:57,drop
1130,10.0.0.1,80,10.0.0.2,60638,DoS ACK,08-26 18:07:59,drop
